time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
2440,2379.388,896.156,884.505,1072.909,509.784,1546.844,944.836,947.113,879.797,1179.855,2039.722,975.341,1396.957,1107.422,2649.399,558.464,1153.884,1184.991,1701.946,742.648
2480,2302.508,914.857,913.841,1024.966,564.341,1501.527,925.645,866.02,894.242,1154.41,1984.441,1044.559,1332.312,1101.207,2754.638,502.825,1306.232,1233.991,1596.837,764.02
2520,2376.544,869.206,922.74,1015.899,533.644,1552.504,913.84,948.094,844.914,1132.625,1972.914,1041.278,1365.676,1161.777,2793.915,536.392,1139.464,1209.312,1610.997,776.728
2560,2476.898,972.276,1013.486,1060.159,486.212,1442.395,920.059,907.953,934.656,1084.094,2012.493,1106.223,1309.691,1150.863,2745.406,584.021,1222.116,1437.125,1606.862,750.295
2600,2400.362,953.245,924.101,1037.308,576.861,1525.406,937.734,869.625,896.559,1113.805,1987.96,1013.716,1322.238,1169.152,2838.655,484.134,1253.777,1221.884,1569.533,757.777
2640,2448.927,918.099,922.548,1003.048,570.736,1585.199,957.484,851.188,959.91,1140.742,1952.716,1077.931,1314.292,1174.039,2793.973,478.969,1208.857,1172.973,1511.673,785.596
2680,2550.378,899.818,920.308,1013.587,534.096,1588.906,888.77,894.727,882.383,1066.469,2043.473,1174.799,1362.605,1315.426,2830.884,443.186,1189.777,1281.875,1462.931,811.989
2720,2510.536,942.32,858.197,1019.957,674.543,1603.27,961.191,938.715,940.902,1125.547,2050.456,1209.163,1342.587,1141.246,2824.048,527.722,1198.777,1295.232,1595.092,854.106
2760,2570.122,894.648,878.005,1078.38,694.072,1584.957,922.406,951.953,936.84,1127.238,2143.458,1190.063,1442.564,1191.918,2807.587,505.34,1133.295,1252.357,1565.298,840.023
2800,2561.69,885.513,830.635,1028.106,660.952,1575.543,938.207,926.176,931.246,1083.832,2053.178,1188.524,1352.232,1163.785,2767.027,484.351,1152.446,1335.143,1506.593,809.86
2840,2591.411,909.898,908.774,993.096,667.058,1546.109,883.203,913.84,790.219,1054.383,2083.218,1212.312,1311.811,1213.09,2743.805,427.732,1186.884,1297.652,1528.98,821.911
2880,2617.43,895.198,851.577,1014.962,678.245,1488.656,831.516,924.324,907.629,1114.441,2271.851,1225.281,1321.897,1142.414,2680.679,429.918,1293.92,1188.955,1566.109,816.155
2920,2579.74,878.542,869.716,1021.327,748.582,1562.949,919.473,970.25,944.273,1099.512,2362.086,1405.427,1394.579,1154.191,2717.208,488.99,1266.134,1311.991,1521.708,852.264
2960,2542.542,875.385,821.846,951.562,722.303,1457.641,883.797,981.348,855.309,1027.766,2521.201,1206.049,1374.43,1104.402,2720.225,464.526,1194.643,1293.705,1472.241,830.484
3000,2439.81,811.896,817.115,996.034,678.966,1388.719,896.57,915.227,822.957,1072.898,2416.415,1199.04,1377.894,1166.793,2690.311,529.897,1230.518,1340.554,1540.223,830.851
3040,2515.557,882.294,846.788,984.341,715.572,1410.051,901.734,904.57,898.746,1077.043,2400.966,1184.109,1361.295,1132.168,2621.457,511.918,1230.5,1300.643,1533.029,854.324
3080,2513.544,914.883,924.029,1070.75,665.505,1414.465,908.68,925.207,866.484,1049.93,2371.928,1169.585,1404.527,1231.93,2639.549,492.01,1245.562,1274.75,1467.67,846.08
3120,2615.74,844.557,858.043,962.077,631.418,1464.762,882.809,923.078,792.363,1075.457,2353.063,1192.734,1374.648,1275.305,2673.488,531.711,1137.402,1259.295,1481.86,846.564
