time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24
2240,1216.538,1632.577,1657.128,1392.981,1666.215,1700.853,2394.044,1708.599,1879.562,982.141,2001.918,1596.902,1461.77,1371.531,2195.594,3097.492,1208.506,2443.361,2354.291,2744.636,3069.29,2128.126,3621.281,1784.385
2280,1287.122,1680.276,1602.173,1382.474,1681.367,1668.068,2242.248,1670.204,1897.653,1047.863,2099.406,1649.551,1516.66,1390.941,2201.691,3267.52,1214.942,2454.453,2362.392,2730.181,3085.863,2206.031,3651.612,1794.466
2320,1243.91,1624.301,1683.019,1401.147,1658.367,1638.107,2412.431,1777.693,1903.461,1008.121,2068.238,1604.508,1464.457,1338.93,2246.57,3284.301,1363.859,2547.57,2435.753,2771.14,3172.102,2167.171,3622.979,1787.188
2360,1220.654,1636.077,1651.519,1399.333,1642.175,1549.938,2374.847,1688.102,1842.805,989.23,2120.148,1651.957,1484.113,1390.027,2227.898,3223.582,1483.141,2558.338,2423.75,2747.324,3067.457,2173.044,3599.458,1766.151
2400,1315.16,1635.878,1650.833,1385.84,1659.192,1634.096,2442.263,1707.146,1826.261,982.602,2054.074,1598.344,1498.129,1419.398,2229.773,3113.82,1445.045,2495.152,2386.146,2788.613,3049.744,2145.263,3629.469,1756.781
2440,1270.936,1652.141,1590.987,1288.135,1583.492,1601.559,2494.526,1705.314,1784.65,1033.641,2079.824,1545.852,1521.02,1329.531,2328.645,3137.172,1456.404,2483.831,2387.256,2808.616,2965.614,2152.942,3584.766,1752.586
2480,1284.199,1708.077,1546.013,1386.987,1648.186,1557.723,2531.993,1735.672,1801.175,1050.863,2014.816,1629.16,1494.219,1297.418,2260.535,3185.613,1371.788,2582.877,2368.788,2793.885,2962.782,2144.471,3644.18,1757.419
2520,1289.269,1666.244,1632.686,1416.667,1624.667,1596.322,2407.175,1650.591,1789.14,1069.121,2039.684,1659.668,1555.961,1297.578,2267.887,3193.855,1284.808,2547.092,2341.981,2760.536,3022.894,2183.102,3660.547,1742.555
2560,1326.737,1618.91,1637.609,1412.045,1686.011,1563.237,2393.423,1663.241,1739.381,1000.527,2041.797,1650.523,1444.121,1254.469,2268.418,3239.742,1288.686,2551.269,2309.076,2784.395,3009.092,2207.526,3593.661,1750.672
2600,1355.224,1614.603,1678.295,1460.442,1732.644,1605.04,2481.518,1713.387,1802.587,1056.938,2143.406,1699.254,1505.102,1286.539,2341.207,3219.086,1275.622,2572.387,2331.858,2812.854,2984.106,2168.512,3593.617,1741.482
2640,1287.821,1518.244,1608.506,1354.462,1667.718,1501.045,2381.058,1692.803,1695.756,971.652,2095.332,1604.867,1423.559,1245.84,2220.246,3227.363,1231.506,2502.57,2379.383,2716.023,3017.28,2179.754,3545.24,1760.688
2680,1274.083,1620.667,1608.154,1387.981,1641.712,1692.023,2335.102,1669.606,1739.415,1053.773,2112.555,1631.188,1554.844,1384.266,2316.719,3287.957,1311.378,2617.066,2393.269,2815.917,3033.679,2260.621,3490.552,1756.161
2720,1314.936,1562.34,1679.59,1399.699,1666.593,1591.141,2294.431,1706.693,1729.183,1060.016,2175.68,1665.855,1508.277,1395.629,2318.887,3393.867,1319.904,2608.069,2389.956,2861.077,2995.126,2254.447,3536.682,1780.156
2760,1307.468,1527.974,1573.968,1373.513,1637.492,1676.74,2470.46,1749.219,1722.244,1015.254,2163.941,1663.25,1492.688,1382.766,2330.195,3435.156,1299.506,2622.292,2285.94,2835.59,2998.884,2231.444,3475.398,1758.138
2800,1313.372,1575.891,1638.449,1403.436,1686.418,1636.836,2427.255,1771.635,1715.562,1043.219,2122.914,1620.348,1449.016,1348.836,2565.41,3298.738,1304.487,2639.006,2412.595,2795.797,2980.638,2243.232,3569.396,1721.107
2840,1399.622,1635.474,1650.667,1422,1704.684,1711.881,2445.942,1715.226,1797.109,1032.473,2128.09,1622.293,1533.504,1390.852,2761.145,3262.141,1349.256,2529.195,2384.114,2776.181,3000.747,2273.751,3535.255,1775.081
2880,1341.532,1596.154,1563.731,1365.199,1720.215,1698.322,2451.073,1711.912,1733.404,1104.852,2142.824,1681.586,1451.516,1292.625,2629.5,3308.098,1278.564,2569.172,2369.62,2792.16,2963.392,2211.092,3601.076,1742.021
2920,1339.051,1585.577,1619.429,1387.635,1693.593,1686.605,2423.825,1664.73,1784.41,1025.23,2084.602,1634.742,1473.277,1360.93,2676.059,3364.789,1346.385,2577,2370.402,2861.679,2853.768,2215.171,3522.201,1769.255
2960,1328.103,1541.442,1614.353,1380.436,1640.147,1583.774,2485.095,1670.869,1745.828,1014.391,2141.707,1673.75,1475.496,1238.199,2594.695,3231.801,1250.904,2605.097,2357.541,2795.831,2927.672,2242.611,3544.018,1726.036
3000,1336.045,1592.34,1645.744,1374.212,1698.757,1563.836,2447.007,1721.343,1742.361,1053.891,2167.812,1647.609,1459.688,1234.82,2600.074,3310.457,1220.013,2621.014,2393.902,2788.014,2863.184,2281.672,3496.76,1763.492
3040,1254.288,1614.679,1765.199,1424.635,1712.559,1617.678,2516.328,1665.985,1777.819,1054.098,2245.172,1661.168,1459.512,1180.492,2514.688,3205.75,1269.295,2650.458,2360.899,2824.946,2913.461,2228.075,3455.992,1714.096
3080,1289.84,1593.699,1702.404,1291.09,1677.797,1651.492,2516.328,1793.204,1771.845,966.312,2215.559,1609.074,1467,1153.828,2497.582,3276.832,1276.756,2655.381,2279.908,2850.533,2891.297,2122.065,3561.195,1736.799
3120,1342.731,1626.071,1700.019,1394.635,1723.921,1586.062,2502.401,1718.139,1787.275,1026.406,2266.867,1677.758,1470.672,1203.117,2404.008,3230.059,1322.667,2613.57,2393.639,2865.487,2905.577,2207.928,3527.19,1748.828
3160,1386.083,1551.814,1765.147,1403.949,1647.599,1681.701,2412.613,1759.584,1753.63,988.59,2291.695,1644.066,1550.004,1160.164,2510.305,3267.719,1336.686,2634.327,2278.551,2771.934,2890.71,2168.758,3487.346,1703.807
3200,1309.397,1619.179,1708.115,1382.955,1683.028,1553.045,2588.255,1753.029,1795.304,1001.648,2190.152,1666.262,1476.305,1213.535,2491.379,3284.477,1343.526,2669.768,2325.712,2762.722,2903.171,2205.86,3413.492,1750.622
3240,1355.109,1602.506,1682.026,1405.038,1691.096,1554.068,2467.445,1779.788,1791.41,1016.754,2243.336,1631.57,1514.305,1208.902,2421.219,3245.859,1324.795,2695.805,2329.411,2810.96,3021.628,2258.29,3482.576,1732.099
3280,1301.423,1491.923,1748.731,1358.66,1668.847,1659.734,2508.372,1746.423,1810.63,1028.688,2244.832,1631.309,1471.512,1253.523,2304.109,3362.941,1323.026,2682.201,2388.601,2795.215,3029.061,2216.56,3469.987,1711.74
3320,1273.891,1614.885,1709.231,1388.538,1684.147,1575.186,2393.65,1697.927,1824.043,983.73,2301.227,1680.77,1569.531,1213.02,2383.074,3295.152,1247.808,2747.642,2341.332,2802.014,2999.406,2229.922,3544.615,1704.917
3360,1278.301,1585.468,1765.359,1356.596,1711.621,1605.503,2448.839,1643.788,1762.327,972.5,2287.262,1652.109,1479.797,1242.016,2262.672,3374.961,1226.378,2675.593,2377.203,2793.453,3157.102,2249.058,3504.135,1772.474
3400,1311.218,1553.032,1694.449,1316.519,1663.294,1567.486,2449.978,1693.365,1840.209,992.691,2259.816,1672.91,1488.75,1260.285,2328.102,3402.637,1146.397,2736.513,2373.956,2821.172,3114.474,2229.925,3468.25,1744.375
3440,1241.885,1699.378,1634.103,1383.064,1678.667,1547.684,2361.839,1572.314,1760.599,963.336,2224.125,1630.84,1517.918,1276.855,2313.023,3263.137,1170.462,2684.47,2361.851,2816.143,3239.826,2159.73,3489.745,1788.383
3480,1242.173,1580.513,1715.128,1310.25,1603.706,1627.734,2352.336,1679.292,1771.003,1029.953,2238.5,1689.512,1529.387,1287.805,2340.82,3335.023,1196.09,2716.456,2370.778,2740.897,3174.427,2149.805,3439.096,1736.586
3520,1289.782,1559.91,1762.083,1429.763,1718.203,1637.864,2370.489,1640.051,1788.364,1050.039,2316.371,1697.27,1553.848,1275.727,2330.293,3265.762,1192.885,2610.819,2407.472,2830.711,3279.225,2167.096,3449.193,1829.982
3560,1277.91,1578.885,1759.763,1368.385,1711.311,1691.808,2243.518,1610.212,1782.946,1026.262,2270.586,1698.914,1573.668,1225.066,2352.699,3136.352,1150.244,2714.387,2395.259,2817.097,3248.113,2260.853,3501.099,1821.716
3600,1321.487,1576.135,1703.321,1307.808,1630.288,1677.068,2235.599,1558.65,1843.673,954.074,2209.523,1675.383,1513.535,1233.633,2411.988,3261.168,1152.955,2578.367,2341.468,2747.682,3218.314,2207.474,3499.938,1753.672
3640,1284.712,1567.705,1711.212,1349.071,1707.621,1610.503,2290,1526.38,1826.476,1012.746,2251.516,1731.668,1616.762,1221.395,2404.773,3131.027,1201.244,2651.888,2359.823,2811.926,3133.174,2224.253,3504.151,1788.315
3680,1258.622,1630.173,1731.846,1348.833,1708.972,1663.249,2334.146,1633.745,1794.017,1040.551,2286.762,1730.242,1536.121,1274.934,2373.434,3179.027,1154.442,2604.771,2361.468,2721.499,3195.259,2245.205,3456.159,1789.516
3720,1287.827,1623.885,1759.045,1303.045,1738.627,1640.113,2118.358,1548.993,1755.57,1011.27,2257.422,1686.336,1538.375,1324.188,2364.703,3158.355,1150.109,2584.86,2417.589,2751.791,3176.618,2216.382,3479.133,1757.719
3760,1319.423,1598.282,1717.487,1302.545,1706.853,1576.463,2190.058,1599.168,1800.837,999.852,2196.547,1643.617,1595.773,1259.57,2439.051,3218.457,1140.654,2610.47,2412.386,2822.146,3221.669,2304.085,3575.529,1791.992
3800,1328.545,1583.603,1794.808,1304.083,1686.062,1665.22,2215.54,1596.182,1769.074,1051.223,2216.219,1706.703,1623.016,1257.559,2400.387,3221.23,1142.276,2668.67,2462.487,2830.605,3286.976,2243.297,3592.219,1684.292
3840,1404.038,1569.564,1700.25,1327.59,1683.661,1667.424,2188.861,1595.65,1807.519,985.949,2167.25,1763.883,1666.258,1305.691,2350.793,3164.031,1091.122,2589.484,2429.741,2796.02,3184.932,2271.778,3613.701,1785.859
