time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19
3520,3694.754,3161.698,1452.25,2373.122,2117.745,2909.88,1655.005,2036.096,3121.132,2547.672,1162.309,1232.703,7408.07,1927.957,3166.761,2655.218,4225.289,1651.341,2436.608
3560,3591.516,3146.323,1404.37,2434.792,2163.924,2896.406,1687.13,1985.87,3100.39,2598.767,1158.259,1289.075,7335.818,1906.012,3188.376,2600.329,4277.061,1645.009,2380.804
3600,3714.496,3175.776,1426.128,2343.5,2204.901,2984.81,1592.414,2035.385,3082.725,2632.772,1166.22,1164.239,7510.978,1984.718,3251.513,2608.851,4199.192,1654.263,2395.348
3640,3627.513,3252.651,1435.924,2462.234,2158.672,3028.185,1687.401,2017.266,3059.183,2678.989,1183.328,1188.034,7447.319,2050.812,3243.217,2627.04,4316.127,1663.21,2418.054
3680,3618.559,3221.336,1368.552,2489.367,2127.299,3037.786,1670.602,2048.911,3087.026,2668.874,1220.622,1278.72,7468.112,1924.505,3267.168,2605.936,4385.83,1678.873,2396.645
3720,3630.026,3187.956,1469.984,2490.471,2167.951,3080.693,1709.102,2018.872,3060.911,2638.433,1245.602,1198.747,7554.292,1991.29,3234.006,2665.998,4538.756,1714.78,2413.508
3760,3559.077,3135.698,1467.677,2363.674,2181.51,3030.435,1644.305,2031.797,3026.441,2581.73,1231.837,1288,7668.262,2023.888,3304.204,2707.369,4411.43,1709.7,2439.773
3800,3549.218,3161.091,1469.508,2438.602,2130.766,3051.544,1708.562,2053.745,3079.842,2581.17,1198.724,1269.918,7620.325,2006.037,3271.738,2657.908,4440.458,1701.18,2458.007
3840,3610.381,3184.305,1527.836,2386.643,2122.812,3058.953,1658.391,2034.721,3145.335,2558.485,1205.372,1326.119,7722.834,2047.969,3275.528,2549.867,4473.289,1702.761,2434.269
3880,3591.487,3148.628,1578.586,2420.393,2139.141,3027.688,1675.214,2055.422,3148.421,2584.639,1241.928,1291.256,7579.043,2015.81,3324.137,2630.161,4355.097,1714.728,2411.99
