time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
3080,3837.918,4433.587,4494.33,1530.323,2743.44,1630.362,2433.411,1674.202,2024.307,2484.021,1426.342,2491.969,3502.518,1696.627,1940.452,1358.869,1449.883,1427.81
3120,3804.27,4565.354,4591.865,1588.105,2752.799,1699.143,2475.518,1847.829,2028.547,2594.265,1454.249,2477.797,3574.188,1744.401,2000.017,1359.437,1490.959,1522.222
3160,3827.695,4406.092,4540.328,1639.829,2791.336,1692.25,2473.299,1691.841,2006.404,2475.279,1335.497,2375.581,3493.76,1659.122,1931.222,1343.109,1443.794,1411.092
3200,3786.035,4380.832,4492.366,1594.135,2823.734,1693.878,2467.711,1648.58,1986.453,2523.385,1312.413,2391.101,3629.443,1667.721,1935.649,1363.483,1477.294,1380.316
3240,3724.194,4360.753,4488.905,1506.192,2750.547,1671.505,2385.698,1671.492,2066.556,2549.31,1385.9,2435.456,3618.703,1732.854,1990.143,1383.345,1524.127,1361.035
3280,3779.162,4501.327,4652.515,1526.57,2662.841,1636.18,2453.758,1633.173,2015.369,2537.739,1334.82,2399.015,3608.524,1717.009,1984.332,1386.067,1555.158,1385.152
3320,3663.141,4482.857,4510.482,1502.116,2681.599,1601.872,2397.794,1559.81,2010.76,2545.657,1304.751,2340.989,3576.75,1690.16,2004.978,1350.239,1446.142,1327.642
3360,3764.902,4466.501,4510.641,1557.91,2667.961,1624.159,2457.174,1554.537,2003.951,2505.7,1246.89,2383.328,3577.776,1691.691,1899.324,1362.748,1506.747,1305.161
3400,3689.176,4466.912,4416.323,1510.207,2696.917,1614.151,2431.648,1527.914,1913.578,2443.416,1310.912,2327.818,3510.067,1702.296,1916.016,1364.276,1548.076,1332.522
3440,3612.031,4473.047,4404.356,1533.729,2678.497,1636.536,2390.701,1540.862,1955.698,2481.216,1258.213,2370.364,3419.782,1734.453,1972.134,1353.767,1497.766,1319.734
3480,3634.793,4575.969,4467.216,1532.872,2649.674,1504.839,2422.539,1534.751,1906.142,2477.042,1233.057,2316.261,3491.995,1751.624,1940.281,1368.024,1504.712,1375.522
3520,3645.2,4441.299,4508.01,1494.447,2616.964,1550.708,2419.208,1500.52,1988.751,2474.448,1241.589,2312.151,3454.039,1721.485,1921.556,1337.76,1539.003,1274.139
3560,3685.041,4484.775,4498.124,1476.715,2647.073,1548.065,2362.292,1487.58,1876.951,2436.602,1199.589,2317.102,3468.768,1743.422,1947.501,1316.866,1438.12,1303.513
3600,3583.235,4540.274,4464.211,1510.967,2678.115,1564.305,2422.807,1503.836,1938.844,2418.151,1248.342,2300.747,3511.597,1688.906,1913.978,1309.437,1431.443,1303.652
3640,3570.274,4586.323,4477.848,1519.024,2637.852,1560.411,2411.841,1517.815,1873.071,2491.258,1314.162,2328.226,3464.995,1777.019,1876.714,1346.94,1575.959,1361.965
3680,3665.703,4517.164,4599.998,1486.119,2681.224,1592.135,2524.971,1696.713,1962.676,2578.615,1375.078,2442.904,3495.287,1773.879,1986.447,1382.542,1528.266,1480.361
